time,base_time,time_offset,atmos_pressure,qc_atmos_pressure,temp_mean,qc_temp_mean,temp_std,rh_mean,qc_rh_mean,rh_std,vapor_pressure_mean,qc_vapor_pressure_mean,vapor_pressure_std,wspd_arith_mean,qc_wspd_arith_mean,wspd_vec_mean,qc_wspd_vec_mean,wdir_vec_mean,qc_wdir_vec_mean,wdir_vec_std,pwd_err_code,pwd_mean_vis_1min,qc_pwd_mean_vis_1min,pwd_mean_vis_10min,qc_pwd_mean_vis_10min,pwd_pw_code_inst,qc_pwd_pw_code_inst,pwd_pw_code_15min,qc_pwd_pw_code_15min,pwd_pw_code_1hr,qc_pwd_pw_code_1hr,pwd_precip_rate_mean_1min,qc_pwd_precip_rate_mean_1min,pwd_cumul_rain,qc_pwd_cumul_rain,pwd_cumul_snow,qc_pwd_cumul_snow,org_precip_rate_mean,qc_org_precip_rate_mean,tbrg_precip_total,qc_tbrg_precip_total,tbrg_precip_total_corr,qc_tbrg_precip_total_corr,logger_volt,qc_logger_volt,logger_temp,qc_logger_temp,lat,lon,alt
2023-06-14 00:00:00,2023-06-14,2023-06-14 00:00:00,71.67,0,5.542,0,0.08,77.64,0,0.735,0.703,0,0.005,5.884,0,5.79,0,308.7,0,10.19,0.0,9781.0,0,10952.0,0,61.0,0,82.0,0,81.0,0,1.26,0,10.17,0,749.0,0,0.382,0,0.0,0,0.0,0,11.58,0,18.4,0,38.956158,-106.987854,2886.0
2023-06-14 00:01:00,2023-06-14,2023-06-14 00:01:00,71.67,0,5.455,0,0.058,78.94,0,0.352,0.71,0,0.004,6.643,0,6.628,0,311.0,0,3.738,0.0,15443.0,0,10757.0,0,61.0,0,82.0,0,81.0,0,0.26,0,10.18,0,749.0,0,0.266,0,0.0,0,0.0,0,11.58,0,18.27,0,38.956158,-106.987854,2886.0
2023-06-14 00:02:00,2023-06-14,2023-06-14 00:02:00,71.68,0,5.425,0,0.065,78.52,0,0.386,0.705,0,0.004,5.478,0,5.422,0,317.5,0,8.23,0.0,20000.0,0,11419.0,0,61.0,0,82.0,0,81.0,0,0.21,0,10.18,0,749.0,0,0.115,0,0.0,0,0.0,0,11.58,0,18.14,0,38.956158,-106.987854,2886.0
2023-06-14 00:03:00,2023-06-14,2023-06-14 00:03:00,71.67,0,5.397,0,0.067,79.73,0,0.463,0.715,0,0.005,5.228,0,5.171,0,329.9,0,8.45,0.0,20000.0,0,12621.0,0,61.0,0,82.0,0,81.0,0,0.12,0,10.18,0,749.0,0,0.241,0,0.0,0,0.0,0,11.58,0,18.0,0,38.956158,-106.987854,2886.0
2023-06-14 00:04:00,2023-06-14,2023-06-14 00:04:00,71.67,0,5.408,0,0.077,80.1,0,0.266,0.718,0,0.005,5.113,0,5.085,0,323.3,0,5.995,0.0,20000.0,0,13549.0,0,61.0,0,82.0,0,81.0,0,0.02,0,10.18,0,749.0,0,0.003,0,0.0,0,0.0,0,11.59,0,17.87,0,38.956158,-106.987854,2886.0
2023-06-14 00:05:00,2023-06-14,2023-06-14 00:05:00,71.67,0,5.435,0,0.057,80.2,0,0.26,0.721,0,0.004,4.027,0,3.982,0,325.5,0,8.58,0.0,20000.0,0,14733.0,0,61.0,0,82.0,0,81.0,0,0.09,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,17.74,0,38.956158,-106.987854,2886.0
2023-06-14 00:06:00,2023-06-14,2023-06-14 00:06:00,71.68,0,5.465,0,0.067,80.5,0,0.299,0.725,0,0.004,3.849,0,3.807,0,329.3,0,8.51,0.0,20000.0,0,16530.0,0,61.0,0,82.0,0,81.0,0,0.01,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,17.62,0,38.956158,-106.987854,2886.0
2023-06-14 00:07:00,2023-06-14,2023-06-14 00:07:00,71.67,0,5.526,0,0.065,80.8,0,0.356,0.73,0,0.004,3.882,0,3.827,0,321.3,0,9.61,0.0,20000.0,0,20000.0,0,61.0,0,82.0,0,81.0,0,0.02,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,17.49,0,38.956158,-106.987854,2886.0
2023-06-14 00:08:00,2023-06-14,2023-06-14 00:08:00,71.67,0,5.545,0,0.065,80.7,0,0.79,0.731,0,0.007,5.381,0,5.351,0,320.3,0,6.017,0.0,20000.0,0,20000.0,0,61.0,0,81.0,0,81.0,0,0.01,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,17.36,0,38.956158,-106.987854,2886.0
2023-06-14 00:09:00,2023-06-14,2023-06-14 00:09:00,71.67,0,5.608,0,0.061,79.04,0,0.394,0.719,0,0.004,5.439,0,5.421,0,317.1,0,4.62,0.0,20000.0,0,20000.0,0,61.0,0,81.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,17.24,0,38.956158,-106.987854,2886.0
2023-06-14 00:10:00,2023-06-14,2023-06-14 00:10:00,71.67,0,5.64,0,0.06,78.01,0,0.34,0.711,0,0.005,4.121,0,4.054,0,311.2,0,10.29,0.0,20000.0,0,20000.0,0,61.0,0,81.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,17.13,0,38.956158,-106.987854,2886.0
2023-06-14 00:11:00,2023-06-14,2023-06-14 00:11:00,71.66,0,5.713,0,0.06,78.65,0,0.303,0.721,0,0.004,4.418,0,4.356,0,310.8,0,9.59,0.0,20000.0,0,20000.0,0,0.0,0,81.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.029,0,0.0,0,0.0,0,11.58,0,17.01,0,38.956158,-106.987854,2886.0
2023-06-14 00:12:00,2023-06-14,2023-06-14 00:12:00,71.67,0,5.768,0,0.07,78.04,0,0.401,0.718,0,0.004,4.854,0,4.826,0,319.3,0,6.185,0.0,20000.0,0,20000.0,0,0.0,0,81.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,16.91,0,38.956158,-106.987854,2886.0
2023-06-14 00:13:00,2023-06-14,2023-06-14 00:13:00,71.66,0,5.86,0,0.076,76.8,0,0.338,0.711,0,0.004,3.794,0,3.779,0,316.1,0,5.196,0.0,20000.0,0,20000.0,0,0.0,0,81.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,16.8,0,38.956158,-106.987854,2886.0
2023-06-14 00:14:00,2023-06-14,2023-06-14 00:14:00,71.67,0,5.975,0,0.062,76.81,0,0.288,0.717,0,0.004,3.631,0,3.582,0,305.8,0,9.48,0.0,20000.0,0,20000.0,0,0.0,0,81.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,16.7,0,38.956158,-106.987854,2886.0
2023-06-14 00:15:00,2023-06-14,2023-06-14 00:15:00,71.66,0,6.095,0,0.07,76.9,0,0.415,0.723,0,0.006,3.318,0,3.263,0,310.9,0,10.42,0.0,20000.0,0,20000.0,0,0.0,0,81.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,16.6,0,38.956158,-106.987854,2886.0
2023-06-14 00:16:00,2023-06-14,2023-06-14 00:16:00,71.66,0,6.222,0,0.08,77.1,0,1.257,0.732,0,0.011,3.843,0,3.806,0,290.6,0,7.969,0.0,20000.0,0,20000.0,0,0.0,0,81.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,16.51,0,38.956158,-106.987854,2886.0
2023-06-14 00:17:00,2023-06-14,2023-06-14 00:17:00,71.66,0,6.372,0,0.076,73.38,0,0.579,0.704,0,0.006,3.38,0,3.357,0,296.6,0,6.662,0.0,20000.0,0,20000.0,0,0.0,0,81.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,16.43,0,38.956158,-106.987854,2886.0
2023-06-14 00:18:00,2023-06-14,2023-06-14 00:18:00,71.66,0,6.48,0,0.068,75.11,0,0.743,0.726,0,0.009,2.926,0,2.907,0,291.6,0,6.391,0.0,20000.0,0,20000.0,0,0.0,0,81.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,16.35,0,38.956158,-106.987854,2886.0
2023-06-14 00:19:00,2023-06-14,2023-06-14 00:19:00,71.66,0,6.573,0,0.065,74.13,0,1.132,0.721,0,0.01,4.3,0,4.282,0,296.7,0,5.126,0.0,20000.0,0,20000.0,0,0.0,0,81.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,16.27,0,38.956158,-106.987854,2886.0
2023-06-14 00:20:00,2023-06-14,2023-06-14 00:20:00,71.66,0,6.612,0,0.064,70.83,0,1.007,0.69,0,0.01,3.154,0,3.139,0,302.4,0,5.598,0.0,20000.0,0,20000.0,0,0.0,0,81.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,16.21,0,38.956158,-106.987854,2886.0
2023-06-14 00:21:00,2023-06-14,2023-06-14 00:21:00,71.66,0,6.626,0,0.065,70.08,0,0.261,0.684,0,0.004,3.457,0,3.43,0,301.2,0,7.162,0.0,20000.0,0,20000.0,0,0.0,0,81.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,16.14,0,38.956158,-106.987854,2886.0
2023-06-14 00:22:00,2023-06-14,2023-06-14 00:22:00,71.66,0,6.66,0,0.065,69.76,0,0.24,0.682,0,0.004,3.58,0,3.549,0,311.7,0,7.546,0.0,20000.0,0,20000.0,0,0.0,0,81.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,16.09,0,38.956158,-106.987854,2886.0
2023-06-14 00:23:00,2023-06-14,2023-06-14 00:23:00,71.67,0,6.713,0,0.064,70.43,0,0.256,0.691,0,0.004,4.354,0,4.312,0,311.4,0,7.942,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,16.03,0,38.956158,-106.987854,2886.0
2023-06-14 00:24:00,2023-06-14,2023-06-14 00:24:00,71.66,0,6.783,0,0.066,70.65,0,0.285,0.697,0,0.004,4.474,0,4.448,0,308.0,0,6.227,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,15.98,0,38.956158,-106.987854,2886.0
2023-06-14 00:25:00,2023-06-14,2023-06-14 00:25:00,71.66,0,6.85,0,0.07,68.56,0,1.078,0.679,0,0.011,5.17,0,5.116,0,312.3,0,8.25,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,15.93,0,38.956158,-106.987854,2886.0
2023-06-14 00:26:00,2023-06-14,2023-06-14 00:26:00,71.67,0,6.868,0,0.069,67.07,0,0.243,0.665,0,0.004,4.137,0,4.116,0,306.5,0,5.704,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,15.89,0,38.956158,-106.987854,2886.0
2023-06-14 00:27:00,2023-06-14,2023-06-14 00:27:00,71.67,0,6.922,0,0.065,68.28,0,0.921,0.68,0,0.01,3.763,0,3.727,0,298.5,0,7.997,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,15.84,0,38.956158,-106.987854,2886.0
2023-06-14 00:28:00,2023-06-14,2023-06-14 00:28:00,71.67,0,6.95,0,0.067,67.83,0,0.372,0.677,0,0.005,4.49,0,4.405,0,309.2,0,11.12,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,15.8,0,38.956158,-106.987854,2886.0
2023-06-14 00:29:00,2023-06-14,2023-06-14 00:29:00,71.67,0,6.985,0,0.054,66.85,0,0.451,0.669,0,0.004,3.257,0,3.13,0,291.8,0,15.99,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,15.76,0,38.956158,-106.987854,2886.0
2023-06-14 00:30:00,2023-06-14,2023-06-14 00:30:00,71.67,0,7.066,0,0.06,67.65,0,0.52,0.68,0,0.006,3.576,0,3.54,0,267.2,0,8.14,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,15.72,0,38.956158,-106.987854,2886.0
2023-06-14 00:31:00,2023-06-14,2023-06-14 00:31:00,71.67,0,7.109,0,0.059,66.47,0,0.261,0.67,0,0.004,3.601,0,3.474,0,268.8,0,15.22,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,15.69,0,38.956158,-106.987854,2886.0
2023-06-14 00:32:00,2023-06-14,2023-06-14 00:32:00,71.66,0,7.128,0,0.057,66.0,0,0.284,0.667,0,0.004,3.705,0,3.651,0,313.7,0,9.76,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,15.65,0,38.956158,-106.987854,2886.0
2023-06-14 00:33:00,2023-06-14,2023-06-14 00:33:00,71.67,0,7.154,0,0.063,66.04,0,0.256,0.668,0,0.004,4.094,0,4.045,0,295.8,0,8.91,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,15.62,0,38.956158,-106.987854,2886.0
2023-06-14 00:34:00,2023-06-14,2023-06-14 00:34:00,71.67,0,7.158,0,0.064,64.94,0,0.235,0.657,0,0.004,4.375,0,4.301,0,296.8,0,10.5,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,15.59,0,38.956158,-106.987854,2886.0
2023-06-14 00:35:00,2023-06-14,2023-06-14 00:35:00,71.67,0,7.201,0,0.073,66.69,0,0.605,0.677,0,0.008,3.888,0,3.847,0,300.1,0,8.37,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,15.55,0,38.956158,-106.987854,2886.0
2023-06-14 00:36:00,2023-06-14,2023-06-14 00:36:00,71.67,0,7.256,0,0.06,66.07,0,0.43,0.673,0,0.005,4.324,0,4.3,0,295.2,0,6.138,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,15.52,0,38.956158,-106.987854,2886.0
2023-06-14 00:37:00,2023-06-14,2023-06-14 00:37:00,71.67,0,7.302,0,0.061,65.39,0,0.376,0.668,0,0.004,3.878,0,3.837,0,313.0,0,8.38,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,15.49,0,38.956158,-106.987854,2886.0
2023-06-14 00:38:00,2023-06-14,2023-06-14 00:38:00,71.67,0,7.319,0,0.051,64.84,0,0.234,0.664,0,0.004,4.552,0,4.538,0,308.4,0,4.597,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,15.46,0,38.956158,-106.987854,2886.0
2023-06-14 00:39:00,2023-06-14,2023-06-14 00:39:00,71.68,0,7.339,0,0.065,64.99,0,0.245,0.666,0,0.004,3.74,0,3.702,0,310.4,0,8.18,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.58,0,15.43,0,38.956158,-106.987854,2886.0
2023-06-14 00:40:00,2023-06-14,2023-06-14 00:40:00,71.68,0,7.337,0,0.054,64.22,0,0.331,0.658,0,0.004,3.588,0,3.514,0,312.5,0,11.61,0.0,20000.0,0,20000.0,0,0.0,0,23.0,0,81.0,0,0.0,0,10.19,0,749.0,0,0.0,0,0.0,0,0.0,0,11.59,0,15.4,0,38.956158,-106.987854,2886.0
